"density","sugars (g/l)"
1015,10
1020,23
1025,36
1030,50
1035,63
1040,76
1045,90
1050,103
1055,116
1060,130
1065,143
1070,156
1075,170
1080,183
1085,196
1090,210
1095,223
1100,236
1105,250
1110,263
1115,276
1120,290
1125,303
1130,317
1135,330
1140,344
1145,357
1150,370
1155,383
1160,397
1165,410
1170,423
