0 0 11776947 
-1 -1 11776947 
1 -1 11776947 
-2 -2 11776947 
0 -2 5066061 
2 -2 11776947 
-3 -3 11776947 
-1 -3 3355443 
1 -3 3355443 
3 -3 11776947 
-4 -4 11776947 
-2 -4 8355711 
0 -4 10066329 
2 -4 8355711 
4 -4 11776947 
-5 -5 11776947 
-3 -5 13421772 
-1 -5 15066597 
1 -5 15066597 
3 -5 13421772 
5 -5 11776947 
-6 -6 11776947 
-4 -6 10066329 
-2 -6 13421772 
0 -6 15066597 
2 -6 13421772 
4 -6 10066329 
6 -6 11776947 
-7 -7 11776947 
-5 -7 1710618 
-3 -7 11776947 
-1 -7 13421772 
1 -7 13421772 
3 -7 11776947 
5 -7 1710618 
7 -7 11776947 
-8 -8 11776947 
-6 -8 6710886 
-4 -8 6710886 
-2 -8 10066329 
0 -8 15066597 
2 -8 10066329 
4 -8 6710886 
6 -8 6710886 
8 -8 11776947 
-9 -9 11776947 
-7 -9 0 
-5 -9 10066329 
-3 -9 8355711 
-1 -9 10066329 
1 -9 10066329 
3 -9 8355711 
5 -9 10066329 
7 -9 0 
9 -9 11776947 
-10 -10 11776947 
-8 -10 15066597 
-6 -10 13421772 
-4 -10 15066597 
-2 -10 15066597 
0 -10 5066061 
2 -10 15066597 
4 -10 15066597 
6 -10 13421772 
8 -10 15066597 
10 -10 11776947 
-11 -11 11776947 
-9 -11 11776947 
-7 -11 13421772 
-5 -11 13421772 
-3 -11 15066597 
-1 -11 5066061 
1 -11 5066061 
3 -11 15066597 
5 -11 13421772 
7 -11 13421772 
9 -11 11776947 
11 -11 11776947 
-12 -12 11776947 
-10 -12 5066061 
-8 -12 10066329 
-6 -12 15066597 
-4 -12 13421772 
-2 -12 5066061 
0 -12 8355711 
2 -12 5066061 
4 -12 13421772 
6 -12 15066597 
8 -12 10066329 
10 -12 5066061 
12 -12 11776947 
-13 -13 11776947 
-11 -13 3355443 
-9 -13 6710886 
-7 -13 10066329 
-5 -13 13421772 
-3 -13 1710618 
-1 -13 10066329 
1 -13 10066329 
3 -13 1710618 
5 -13 13421772 
7 -13 10066329 
9 -13 6710886 
11 -13 3355443 
13 -13 11776947 
-14 -14 11776947 
-12 -14 8355711 
-10 -14 11776947 
-8 -14 8355711 
-6 -14 11776947 
-4 -14 5066061 
-2 -14 3355443 
0 -14 5066061 
2 -14 3355443 
4 -14 5066061 
6 -14 11776947 
8 -14 8355711 
10 -14 11776947 
12 -14 8355711 
14 -14 11776947 
-15 -15 11776947 
-13 -15 13421772 
-11 -15 13421772 
-9 -15 13421772 
-7 -15 13421772 
-5 -15 3355443 
-3 -15 13421772 
-1 -15 13421772 
1 -15 13421772 
3 -15 13421772 
5 -15 3355443 
7 -15 13421772 
9 -15 13421772 
11 -15 13421772 
13 -15 13421772 
15 -15 11776947 
-16 -16 11776947 
-14 -16 10066329 
-12 -16 15066597 
-10 -16 15066597 
-8 -16 15066597 
-6 -16 6710886 
-4 -16 6710886 
-2 -16 15066597 
0 -16 15066597 
2 -16 15066597 
4 -16 6710886 
6 -16 6710886 
8 -16 15066597 
10 -16 15066597 
12 -16 15066597 
14 -16 10066329 
16 -16 11776947 
-17 -17 11776947 
-15 -17 1710618 
-13 -17 10066329 
-11 -17 15066597 
-9 -17 15066597 
-7 -17 6710886 
-5 -17 10066329 
-3 -17 6710886 
-1 -17 15066597 
1 -17 15066597 
3 -17 6710886 
5 -17 10066329 
7 -17 6710886 
9 -17 15066597 
11 -17 15066597 
13 -17 10066329 
15 -17 1710618 
17 -17 11776947 
-18 -18 11776947 
-16 -18 6710886 
-14 -18 3355443 
-12 -18 10066329 
-10 -18 15066597 
-8 -18 6710886 
-6 -18 8355711 
-4 -18 8355711 
-2 -18 6710886 
0 -18 15066597 
2 -18 6710886 
4 -18 8355711 
6 -18 8355711 
8 -18 6710886 
10 -18 15066597 
12 -18 10066329 
14 -18 3355443 
16 -18 6710886 
18 -18 11776947 
-19 -19 11776947 
-17 -19 0 
-15 -19 11776947 
-13 -19 0 
-11 -19 10066329 
-9 -19 6710886 
-7 -19 5066061 
-5 -19 6710886 
-3 -19 5066061 
-1 -19 6710886 
1 -19 6710886 
3 -19 5066061 
5 -19 6710886 
7 -19 5066061 
9 -19 6710886 
11 -19 10066329 
13 -19 0 
15 -19 11776947 
17 -19 0 
19 -19 11776947 
-20 -20 11776947 
-18 -20 15066597 
-16 -20 15066597 
-14 -20 15066597 
-12 -20 13421772 
-10 -20 8355711 
-8 -20 15066597 
-6 -20 15066597 
-4 -20 15066597 
-2 -20 15066597 
0 -20 10066329 
2 -20 15066597 
4 -20 15066597 
6 -20 15066597 
8 -20 15066597 
10 -20 8355711 
12 -20 13421772 
14 -20 15066597 
16 -20 15066597 
18 -20 15066597 
20 -20 11776947 
-21 -21 11776947 
-19 -21 11776947 
-17 -21 15066597 
-15 -21 15066597 
-13 -21 13421772 
-11 -21 0 
-9 -21 8355711 
-7 -21 15066597 
-5 -21 15066597 
-3 -21 15066597 
-1 -21 10066329 
1 -21 10066329 
3 -21 15066597 
5 -21 15066597 
7 -21 15066597 
9 -21 8355711 
11 -21 0 
13 -21 13421772 
15 -21 15066597 
17 -21 15066597 
19 -21 11776947 
21 -21 11776947 
-22 -22 11776947 
-20 -22 5066061 
-18 -22 11776947 
-16 -22 15066597 
-14 -22 13421772 
-12 -22 8355711 
-10 -22 3355443 
-8 -22 8355711 
-6 -22 15066597 
-4 -22 15066597 
-2 -22 10066329 
0 -22 5066061 
2 -22 10066329 
4 -22 15066597 
6 -22 15066597 
8 -22 8355711 
10 -22 3355443 
12 -22 8355711 
14 -22 13421772 
16 -22 15066597 
18 -22 11776947 
20 -22 5066061 
22 -22 11776947 
-23 -23 11776947 
-21 -23 3355443 
-19 -23 3355443 
-17 -23 11776947 
-15 -23 13421772 
-13 -23 0 
-11 -23 1710618 
-9 -23 1710618 
-7 -23 8355711 
-5 -23 15066597 
-3 -23 10066329 
-1 -23 6710886 
1 -23 6710886 
3 -23 10066329 
5 -23 15066597 
7 -23 8355711 
9 -23 1710618 
11 -23 1710618 
13 -23 0 
15 -23 13421772 
17 -23 11776947 
19 -23 3355443 
21 -23 3355443 
23 -23 11776947 
-24 -24 11776947 
-22 -24 8355711 
-20 -24 10066329 
-18 -24 8355711 
-16 -24 10066329 
-14 -24 8355711 
-12 -24 10066329 
-10 -24 8355711 
-8 -24 11776947 
-6 -24 8355711 
-4 -24 10066329 
-2 -24 8355711 
0 -24 10066329 
2 -24 8355711 
4 -24 10066329 
6 -24 8355711 
8 -24 11776947 
10 -24 8355711 
12 -24 10066329 
14 -24 8355711 
16 -24 10066329 
18 -24 8355711 
20 -24 10066329 
22 -24 8355711 
24 -24 11776947 
-25 -25 11776947 
-23 -25 13421772 
-21 -25 15066597 
-19 -25 15066597 
-17 -25 15066597 
-15 -25 15066597 
-13 -25 15066597 
-11 -25 15066597 
-9 -25 13421772 
-7 -25 13421772 
-5 -25 15066597 
-3 -25 15066597 
-1 -25 15066597 
1 -25 15066597 
3 -25 15066597 
5 -25 15066597 
7 -25 13421772 
9 -25 13421772 
11 -25 15066597 
13 -25 15066597 
15 -25 15066597 
17 -25 15066597 
19 -25 15066597 
21 -25 15066597 
23 -25 13421772 
25 -25 11776947 
-26 -26 11776947 
-24 -26 10066329 
-22 -26 13421772 
-20 -26 15066597 
-18 -26 15066597 
-16 -26 15066597 
-14 -26 15066597 
-12 -26 15066597 
-10 -26 13421772 
-8 -26 15066597 
-6 -26 13421772 
-4 -26 15066597 
-2 -26 15066597 
0 -26 15066597 
2 -26 15066597 
4 -26 15066597 
6 -26 13421772 
8 -26 15066597 
10 -26 13421772 
12 -26 15066597 
14 -26 15066597 
16 -26 15066597 
18 -26 15066597 
20 -26 15066597 
22 -26 13421772 
24 -26 10066329 
26 -26 11776947 
-27 -27 11776947 
-25 -27 1710618 
-23 -27 11776947 
-21 -27 13421772 
-19 -27 15066597 
-17 -27 15066597 
-15 -27 15066597 
-13 -27 15066597 
-11 -27 13421772 
-9 -27 13421772 
-7 -27 13421772 
-5 -27 13421772 
-3 -27 15066597 
-1 -27 15066597 
1 -27 15066597 
3 -27 15066597 
5 -27 13421772 
7 -27 13421772 
9 -27 13421772 
11 -27 13421772 
13 -27 15066597 
15 -27 15066597 
17 -27 15066597 
19 -27 15066597 
21 -27 13421772 
23 -27 11776947 
25 -27 1710618 
27 -27 11776947 
-28 -28 11776947 
-26 -28 6710886 
-24 -28 6710886 
-22 -28 10066329 
-20 -28 13421772 
-18 -28 15066597 
-16 -28 15066597 
-14 -28 15066597 
-12 -28 13421772 
-10 -28 15066597 
-8 -28 15066597 
-6 -28 15066597 
-4 -28 13421772 
-2 -28 15066597 
0 -28 15066597 
2 -28 15066597 
4 -28 13421772 
6 -28 15066597 
8 -28 15066597 
10 -28 15066597 
12 -28 13421772 
14 -28 15066597 
16 -28 15066597 
18 -28 15066597 
20 -28 13421772 
22 -28 10066329 
24 -28 6710886 
26 -28 6710886 
28 -28 11776947 
-29 -29 11776947 
-27 -29 0 
-25 -29 10066329 
-23 -29 8355711 
-21 -29 11776947 
-19 -29 13421772 
-17 -29 15066597 
-15 -29 15066597 
-13 -29 13421772 
-11 -29 13421772 
-9 -29 15066597 
-7 -29 15066597 
-5 -29 13421772 
-3 -29 13421772 
-1 -29 15066597 
1 -29 15066597 
3 -29 13421772 
5 -29 13421772 
7 -29 15066597 
9 -29 15066597 
11 -29 13421772 
13 -29 13421772 
15 -29 15066597 
17 -29 15066597 
19 -29 13421772 
21 -29 11776947 
23 -29 8355711 
25 -29 10066329 
27 -29 0 
29 -29 11776947 
-30 -30 11776947 
-28 -30 15066597 
